symbol,signal_date,entry,risk_pct,t1,baseline_r,sweep_full_r,t1_then_sweep_r,baseline_reason,sweep_full_reason,t1_then_sweep_reason,t1_hit
COALINDIA,2021-05-06 03:45:00+00:00,135.39999389648438,9.069682512206626,157.3000030517578,22.84544236774449,1.6734053813400065,1.7751946359924988,trend_exit,sweep_reject,sweep_reject,True
COALINDIA,2025-07-22 03:45:00+00:00,389.3999938964844,2.3690261221314723,409.5,-1.0,-1.0,-1.0,stop,stop,stop,False
COALINDIA,2025-09-03 03:45:00+00:00,391.79998779296875,6.062403041369519,427.45001220703125,1.606148129542791,-0.13051158067271157,2.058732175235316,trend_exit,sweep_reject,sweep_reject,True
DIVISLAB,2018-03-15 03:45:00+00:00,1084.550048828125,9.836539331357292,1297.0,32.202656159032074,0.2427762481138131,1.9773679840788447,trend_exit,sweep_reject,sweep_reject,True
DIVISLAB,2023-09-06 03:45:00+00:00,3707.949951171875,4.966239126666832,4438.7998046875,-1.0,-1.0,-1.0,stop,stop,stop,False
DIVISLAB,2024-04-03 03:45:00+00:00,3708.0,9.876829944786374,4438.7998046875,5.476024272985413,0.8328034920272006,2.2087038143355295,trend_exit,sweep_reject,sweep_reject,True
DIVISLAB,2026-07-14 03:45:00+00:00,7260.0,10.255411255411259,,-0.015445719329214468,-0.015445719329214468,-0.015445719329214468,open_at_end,open_at_end,open_at_end,False
DRREDDY,2018-08-02 03:45:00+00:00,447.20001220703125,8.268801178042434,523.0,-1.0,0.6977103159055801,1.9552120616409514,stop,sweep_reject,sweep_reject,True
DRREDDY,2019-03-20 03:45:00+00:00,555.7999877929688,7.360557545638051,635.4000244140625,-1.0,0.6108531828331494,-1.0,stop,sweep_reject,stop,False
DRREDDY,2019-07-16 03:45:00+00:00,533.1199951171875,4.2217526849505855,592.7999877929688,-1.0,-1.0,-1.0,stop,stop,stop,False
DRREDDY,2019-09-04 03:45:00+00:00,527.3499755859375,5.669757842144521,592.7999877929688,12.256071894339408,1.9809731826846242,2.0849879262768773,trend_exit,sweep_reject,sweep_reject,True
DRREDDY,2021-09-01 03:45:00+00:00,962.2000122070312,7.793167042121593,1089.4000244140625,-0.6666589418403891,-0.6666589418403891,-0.6666589418403891,trend_exit,trend_exit,trend_exit,False
DRREDDY,2022-09-28 03:45:00+00:00,858.25,7.084188365662454,951.9199829101562,5.080588608770576,0.4736836463229088,1.7978604225569899,trend_exit,sweep_reject,sweep_reject,True
DRREDDY,2025-07-25 03:45:00+00:00,1280.0,3.224497795104977,1353.699951171875,-1.0,-1.0,-1.0,stop,stop,stop,False
DRREDDY,2025-09-09 03:45:00+00:00,1294.4000244140625,4.335266481489161,1379.699951171875,-1.0,-1.0,-1.0,stop,stop,stop,False
DRREDDY,2025-10-20 03:45:00+00:00,1288.0,4.562553534385053,1379.699951171875,-1.5655393605852488,-1.5655393605852488,-1.5655393605852488,stop,stop,stop,False
DRREDDY,2025-12-02 03:45:00+00:00,1283.5999755859375,5.177067235824565,1405.9000244140625,-1.0,-1.0,-1.0,stop,stop,stop,False
EICHERMOT,2017-07-31 03:45:00+00:00,3022.330078125,6.973463933033432,,-0.43734374953975197,-0.43734374953975197,-0.43734374953975197,trend_exit,trend_exit,trend_exit,False
EICHERMOT,2019-12-30 03:45:00+00:00,2278.0,6.222979637575645,2535.0,-1.0,-1.0,-1.0,stop,stop,stop,False
EICHERMOT,2021-01-04 03:45:00+00:00,2630.0,11.279070106684541,3149.89990234375,-1.0,1.3482691688391493,-1.0,stop,sweep_reject,stop,False
EICHERMOT,2022-09-09 03:45:00+00:00,3484.0,7.2451103001476085,,-1.0,-1.0,-1.0,stop,stop,stop,False
EICHERMOT,2023-02-01 03:45:00+00:00,3265.0,6.526252354346694,3791.949951171875,-1.0,-1.0,-1.0,stop,stop,stop,False
EICHERMOT,2024-03-20 03:45:00+00:00,3881.35009765625,4.04310831535339,4145.0,17.005656744790933,0.34060350960853003,3.0979329130099327,trend_exit,sweep_reject,sweep_reject,True
HCLTECH,2017-02-16 03:45:00+00:00,425.0,5.892438513491336,,-1.0,0.2335997263620223,-1.0,stop,sweep_reject,stop,False
HCLTECH,2017-05-03 03:45:00+00:00,418.04998779296875,4.97005234108682,,0.16845304539431655,1.3777052641178031,0.16845304539431655,trend_exit,sweep_reject,trend_exit,False
