symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_be_r,t1t2_be_reason,t1t2_be_hit_t1,t1t2_be_hit_t2,t1t2_be_bars,t1t2_be_open,t1run_be_r,t1run_be_reason,t1run_be_hit_t1,t1run_be_hit_t2,t1run_be_bars,t1run_be_open,t1run_trail_r,t1run_trail_reason,t1run_trail_hit_t1,t1run_trail_hit_t2,t1run_trail_bars,t1run_trail_open
BAJAJ-AUTO,2019-08-08 03:45:00+00:00,2019-08-09 03:45:00+00:00,2710.550048828125,2432.8213797433036,10.246210698263777,3077.949951171875,daily_swing,3468.35009765625,daily_swing,1.3228735209599196,2.7285625618890808,14,0.7827780367800404,-0.03798689153298358,trend_exit,False,False,137,False,0.642443314713468,trend_exit,True,False,137,False,0.642443314713468,trend_exit,True,False,137,False,0.642443314713468,trend_exit,True,False,137,False,0.642443314713468,trend_exit,True,False,137,False,1.4023578367668899,stop_after_t1,True,False,68,False
BAJAJ-AUTO,2021-04-01 03:45:00+00:00,2021-04-05 03:45:00+00:00,3700.050048828125,3486.815359933036,5.763021745141654,3985.0,daily_swing,4205.0,daily_swing,1.3363208052516702,2.3680478715182627,6,1.3363208052516702,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False
BAJAJ-AUTO,2021-04-27 03:45:00+00:00,2021-04-28 03:45:00+00:00,3810.050048828125,3437.0521432059154,9.789842675083344,4205.0,daily_swing,,,1.0588529994908322,,6,0.46903735526352475,-0.5285556393554076,trend_exit,False,False,138,False,0.2651486800677123,trend_exit,True,False,138,False,0.2651486800677123,trend_exit,True,False,138,False,0.5294264997454161,stop_after_t1,True,False,59,False,0.5294264997454161,stop_after_t1,True,False,59,False,0.8761441333368004,stop_after_t1,True,False,50,False
BAJAJ-AUTO,2023-03-21 03:45:00+00:00,2023-03-22 03:45:00+00:00,3921.75,3713.5907627650668,5.307815063044132,4131.75,daily_swing,4347.0,daily_swing,1.0088430510676267,2.0429071784119444,17,0.06341275721037176,22.390071453097843,trend_exit,False,False,450,False,1.5258751147397855,t2,True,True,19,False,11.699457252082734,trend_exit,True,False,450,False,1.5258751147397855,t2,True,True,19,False,11.699457252082734,trend_exit,True,False,450,False,2.13490358749821,stop_after_t1,True,False,67,False
BAJAJ-AUTO,2025-11-17 03:45:00+00:00,2025-11-18 03:45:00+00:00,8975.5,8590.335714285715,4.291285006008414,9490.0,daily_swing,10079.7998046875,daily_swing,1.3357936316599615,2.8670877483865924,12,0.6776329210170068,5.593716966785981,open_at_end,False,False,171,True,2.101440690023277,t2,True,True,69,False,3.464755299222971,open_at_end,True,False,171,True,2.101440690023277,t2,True,True,69,False,0.6678968158299807,stop_after_t1,True,False,80,False,1.167034475084845,stop_after_t1,True,False,44,False
BHARTIARTL,2017-04-26 03:45:00+00:00,2017-04-27 03:45:00+00:00,319.2703857421875,299.0934753417969,6.319693683298139,361.4041748046875,daily_swing,,,2.088218078308178,,5,0.6945838885468958,3.857061182139794,trend_exit,False,False,190,False,2.972639630223986,trend_exit,True,False,190,False,2.972639630223986,trend_exit,True,False,190,False,2.972639630223986,trend_exit,True,False,190,False,2.972639630223986,trend_exit,True,False,190,False,2.3249568559358824,stop_after_t1,True,False,74,False
BHARTIARTL,2019-08-08 03:45:00+00:00,2019-08-09 03:45:00+00:00,365.1444091796875,313.7788116455078,14.067200878023767,488.93206787109375,daily_swing,493.4383544921875,daily_swing,2.409933197195564,2.4976628613563903,20,0.15001711970766202,7.842906734458687,trend_exit,False,False,904,False,2.453798029275977,t2,True,True,107,False,5.126419965827125,trend_exit,True,False,904,False,2.453798029275977,t2,True,True,107,False,1.204966598597782,stop_after_t1,True,False,148,False,2.731338107601833,stop_after_t1,True,False,131,False
BHARTIARTL,2023-09-06 03:45:00+00:00,2023-09-07 03:45:00+00:00,880.2999877929688,845.7517730712891,3.924595615217114,,,,,,,5,0.5861373782446927,26.533932927995412,trend_exit,False,False,622,False,26.533932927995412,trend_exit,False,False,622,False,26.533932927995412,trend_exit,False,False,622,False,26.533932927995412,trend_exit,False,False,622,False,26.533932927995412,trend_exit,False,False,622,False,26.533932927995412,trend_exit,False,False,622,False
BRITANNIA,2017-07-03 03:45:00+00:00,2017-07-04 03:45:00+00:00,1855.050048828125,1791.4191292898995,3.430145702991815,,,,,,,3,0.7024879020492868,13.011755246983256,trend_exit,False,False,452,False,13.011755246983256,trend_exit,False,False,452,False,13.011755246983256,trend_exit,False,False,452,False,13.011755246983256,trend_exit,False,False,452,False,13.011755246983256,trend_exit,False,False,452,False,13.011755246983256,trend_exit,False,False,452,False
BRITANNIA,2019-12-20 03:45:00+00:00,2019-12-23 03:45:00+00:00,3100.0,3025.1399518694197,2.4148402622767824,3299.0,daily_swing,3399.0,prev_month,2.6582937757784943,3.9941197937576374,7,2.6582937757784943,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False
