symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open
ONGC,2025-07-02 03:45:00+00:00,2025-07-03 03:45:00+00:00,242.0,257.9981427873884,6.6108028047059575,205.0,daily_swing,192.0500030517578,daily_swing,2.3127684564215585,3.1222372254120985,75,0.4062971612632468,-1.0,stop,False,False,83,False,-1.0,stop,False,False,83,False,-1.0,stop,False,False,83,False
ONGC,2025-11-27 03:45:00+00:00,2025-11-28 03:45:00+00:00,245.0,251.55393469674246,2.675075386425494,230.75999450683594,daily_swing,205.0,daily_swing,2.172741437329526,6.103203930286555,78,0.6774560087718131,-1.0,stop,False,False,41,False,0.5863707186647631,stop_after_t1,True,False,41,False,0.5863707186647631,stop_after_t1,True,False,41,False
POWERGRID,2018-05-28 03:45:00+00:00,2018-05-29 03:45:00+00:00,117.14065551757812,120.58857977730888,2.943405297244012,108.50627899169922,prev_month,106.4531478881836,daily_swing,2.5042245349534324,3.0996932717510184,21,0.5791541307791527,0.13867083203163016,trend_exit,False,False,267,False,1.3214476834925313,trend_exit,True,False,267,False,2.8019589033522254,t2,True,True,20,False
POWERGRID,2020-05-18 03:45:00+00:00,2020-05-19 03:45:00+00:00,87.1875228881836,97.00234282357353,11.257138189345351,68.70938873291016,daily_swing,,,1.8826768373656686,,5,0.18626169527656955,-1.0,stop,False,False,12,False,-1.0,stop,False,False,12,False,-1.0,stop,False,False,12,False
POWERGRID,2020-07-08 03:45:00+00:00,2020-07-09 03:45:00+00:00,95.9062728881836,106.66488914489746,11.217844185496869,68.70938873291016,daily_swing,,,2.527916556025627,,10,0.6352465141468481,-1.0,stop,False,False,31,False,-1.0,stop,False,False,31,False,-1.0,stop,False,False,31,False
POWERGRID,2022-12-16 03:45:00+00:00,2022-12-19 03:45:00+00:00,160.53750610351562,169.04383305140905,5.298653974609828,139.7624969482422,daily_swing,131.3249969482422,daily_swing,2.442300805333884,3.43420954005393,40,0.38794688612046013,-1.0,stop,False,False,25,False,-1.0,stop,False,False,25,False,-1.0,stop,False,False,25,False
POWERGRID,2024-12-20 03:45:00+00:00,2024-12-23 03:45:00+00:00,318.0,336.9674996512277,5.964622531832605,279.20001220703125,daily_swing,257.6499938964844,daily_swing,2.0456037172225487,3.181758651020164,79,0.4165015970343272,0.738104666267588,trend_exit,False,False,292,False,1.3918541917450684,trend_exit,True,False,292,False,2.613681184121356,t2,True,True,37,False
RELIANCE,2023-07-24 03:45:00+00:00,2023-07-25 03:45:00+00:00,1247.0,1320.875288609096,5.924241267770334,1131.1361083984375,daily_swing,1014.3766479492188,daily_swing,1.568371424098863,3.148865560196796,75,1.345664820061153,-0.3857852948745147,trend_exit,False,False,15,False,-0.3857852948745147,trend_exit,False,False,15,False,-0.3857852948745147,trend_exit,False,False,15,False
RELIANCE,2024-12-12 03:45:00+00:00,2024-12-13 03:45:00+00:00,1260.0,1332.1738778250558,5.728085541671095,1149.0250244140625,daily_swing,1014.3766479492188,daily_swing,1.5376058337191294,3.4032167794302848,79,0.592319566140299,-1.1084342758181034,stop,False,False,90,False,0.214585778950513,stop_after_t1,True,False,90,False,0.214585778950513,stop_after_t1,True,False,90,False
RELIANCE,2026-06-04 03:45:00+00:00,2026-06-05 03:45:00+00:00,1304.5,1371.3421439034598,5.123966569832106,1114.8499755859375,daily_swing,1073.4486083984375,daily_swing,2.837282189631353,3.456672364298641,78,0.2169290084552399,0.39645646372854193,open_at_end,False,False,35,True,0.39645646372854193,open_at_end,False,False,35,True,0.39645646372854193,open_at_end,False,False,35,True
