signal_time,direction,leg1_r,leg2_r,total_r,exit_reason,is_win,session,dow,hour_utc,month,quarter,atr15,atr_trailing_pct,vol_regime,target1_R,target2_R,ob_body_atr_ratio,fvg_size_atr_ratio,bars_zone_to_confirmation_5m,t1_time,exit_time,bars_to_resolution_5m,bars_to_t1_5m
2026-01-27 06:45:00+00:00,bullish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Tuesday,6,2026-01,2026Q1,0.00043571428571431703,0.42330651440436023,medium,4.856637168140602,6.752212389378953,,,,,2026-01-27 06:55:00+00:00,2.0,
2026-01-30 16:00:00+00:00,bearish,0.011052864270899949,0.4796943093538182,0.24537358681235907,both_targets,True,London/NY overlap,Friday,16,2026-01,2026Q1,0.0014185714285714912,0.9804841897233202,high,0.011052864270899949,0.4796943093538182,0.29683415625902737,0.4513505663664168,12.0,2026-01-30 16:05:00+00:00,2026-01-30 16:10:00+00:00,2.0,1.0
2026-02-09 09:05:00+00:00,bullish,0.10731110747469895,1.0887857308954636,0.5980484191850812,both_targets,True,London,Monday,9,2026-02,2026Q1,0.0009182142857143218,0.872533748701973,high,0.10731110747469895,1.0887857308954636,0.4588414634147884,0.586890243902482,43.0,2026-02-09 09:10:00+00:00,2026-02-09 09:15:00+00:00,2.0,1.0
2026-02-17 04:00:00+00:00,bearish,0.5976608187133002,0.7614035087721072,0.6795321637427036,both_targets,True,Asia,Tuesday,4,2026-02,2026Q1,0.0003571428571428654,0.1897222943161173,low,0.5976608187133002,0.7614035087721072,0.27679500520280187,0.23309053069743682,18.0,2026-02-17 05:20:00+00:00,2026-02-17 05:25:00+00:00,17.0,16.0
2026-02-17 07:25:00+00:00,bearish,0.01230516817071146,0.8818703855620079,0.4470877768663597,both_targets,True,Asia,Tuesday,7,2026-02,2026Q1,0.00034000000000005456,0.16303219106957426,low,0.01230516817071146,0.8818703855620079,0.06473988439204487,0.5664739884386583,5.0,2026-02-17 07:30:00+00:00,2026-02-17 07:35:00+00:00,2.0,1.0
2026-02-24 04:00:00+00:00,bearish,0.1866393951568531,0.03323715256206111,0.1099382738594571,both_targets,True,Asia,Tuesday,4,2026-02,2026Q1,0.0005564285714285371,0.5141907440552288,medium,0.1866393951568531,0.03323715256206111,0.09041980624318229,0.9494079655537486,42.0,2026-02-24 04:30:00+00:00,2026-02-24 04:35:00+00:00,7.0,6.0
2026-03-02 15:40:00+00:00,bearish,0.14800836667884754,2.0227810112769236,1.0853946889778856,both_targets,True,London/NY overlap,Monday,15,2026-03,2026Q1,0.0012671428571428,0.9527519477255592,high,0.14800836667884754,2.0227810112769236,0.43799323562561476,0.18151071025927168,2.0,2026-03-02 15:45:00+00:00,2026-03-02 15:50:00+00:00,2.0,1.0
2026-03-02 20:15:00+00:00,bearish,0.5463087102013511,2.3439390471206845,1.4451238786610179,both_targets,True,New York,Monday,20,2026-03,2026Q1,0.0009653571428571547,0.864432216108054,high,0.5463087102013511,2.3439390471206845,0.27047459050786654,1.9815203695924877,3.0,2026-03-02 20:20:00+00:00,2026-03-02 20:25:00+00:00,2.0,1.0
2026-03-13 08:00:00+00:00,bearish,0.0679475525014391,1.1259880128807584,0.5969677826910987,both_targets,True,Asia/London overlap,Friday,8,2026-03,2026Q1,0.0007092857142856822,0.6028537455410226,medium,0.0679475525014391,1.1259880128807584,0.1904761904763631,0.14285714285753667,21.0,2026-03-13 08:05:00+00:00,2026-03-13 08:10:00+00:00,2.0,1.0
2026-03-18 20:00:00+00:00,bearish,0.8495486459378133,0.058801404212592244,0.4541750250752028,both_targets,True,New York,Wednesday,20,2026-03,2026Q1,0.001121428571428654,0.854775828460039,high,0.8495486459378133,0.058801404212592244,0.00514895182032723,0.298639205589955,21.0,2026-03-18 20:05:00+00:00,2026-03-18 20:15:00+00:00,3.0,1.0
2026-03-19 20:00:00+00:00,bullish,1.4941891374312923,0.47058554515781487,0.9823873412945536,both_targets,True,New York,Thursday,20,2026-03,2026Q1,0.0015253571428571755,0.9688095238095238,high,1.4941891374312923,0.47058554515781487,0.04854170915759516,0.11707118090952405,36.0,2026-03-19 20:05:00+00:00,2026-03-19 20:10:00+00:00,2.0,1.0
2026-03-23 14:00:00+00:00,bullish,0.3019842853617517,0.2977189705967653,0.29985162797925846,both_targets,True,London/NY overlap,Monday,14,2026-03,2026Q1,0.003574642857142834,0.9997511199601792,high,0.3019842853617517,0.2977189705967653,0.030265596046948957,2.157504632489318,36.0,2026-03-23 14:05:00+00:00,2026-03-23 14:10:00+00:00,2.0,1.0
2026-03-26 15:40:00+00:00,bearish,0.4396539034003934,0.7945828358331462,0.6171183696167698,both_targets,True,London/NY overlap,Thursday,15,2026-03,2026Q1,0.000985357142857127,0.7365026278069756,high,0.4396539034003934,0.7945828358331462,,,,2026-03-26 15:45:00+00:00,2026-03-26 15:50:00+00:00,2.0,1.0
2026-03-27 10:40:00+00:00,bearish,0.019754789752625408,0.14267348154656578,0.08121413564959559,both_targets,True,London,Friday,10,2026-03,2026Q1,0.0006292857142857608,0.4456315289648623,medium,0.019754789752625408,0.14267348154656578,0.47005444646122785,0.7876588021773587,44.0,2026-03-27 10:45:00+00:00,2026-03-27 10:50:00+00:00,2.0,1.0
2026-03-30 01:25:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Monday,1,2026-03,2026Q1,0.000647857142857089,0.47749316090524746,medium,1.2666159161446275,1.307606722492251,,,,,2026-03-30 03:10:00+00:00,21.0,
2026-04-08 00:00:00+00:00,bullish,1.2837637457146729,0.0437332194529962,0.6637484825838346,both_targets,True,Asia,Wednesday,0,2026-04,2026Q2,0.001570357142857169,0.979187314172448,high,1.2837637457146729,0.0437332194529962,0.21308980213100942,1.2288178589545624,24.0,2026-04-08 00:05:00+00:00,2026-04-08 05:45:00+00:00,69.0,1.0
2026-04-10 13:00:00+00:00,bullish,0.6490876105090306,0.06988106779805243,0.35948433915354155,both_targets,True,London/NY overlap,Friday,13,2026-04,2026Q2,0.0006560714285714285,0.5068752963489805,medium,0.6490876105090306,0.06988106779805243,0.29005524861894405,1.3342541436464557,45.0,2026-04-10 13:05:00+00:00,2026-04-10 13:10:00+00:00,2.0,1.0
2026-05-01 14:05:00+00:00,bullish,0.8162696430852565,1.027654212011657,0.9219619275484567,both_targets,True,London/NY overlap,Friday,14,2026-05,2026Q2,0.0007496428571428991,0.5898716119828816,medium,0.8162696430852565,1.027654212011657,0.30681276798467405,2.3811338732727547,1.0,2026-05-01 14:10:00+00:00,2026-05-01 14:15:00+00:00,2.0,1.0
